2/16 20:19:12.982  ZONE_INFO: 16.02.26 20:19:12&zul'gurub&0
2/16 21:08:00.266  CAST: 0x00000000001CFD42(Netheras) casts Dissolvent Poison II(45880)(Rank 2) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:08:00.266  0x00000000001CFD42's Dissolvent Poison II hits 0xF130002C5D00BF8A for 193.
2/16 21:08:00.266  CAST: 0x00000000001CFD42(Netheras) casts Dissolvent Poison II(45880)(Rank 2) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:08:00.266  0x00000000001CFD42's Dissolvent Poison II hits 0xF130002C5D00BF8A for 182.
2/16 21:08:00.266  0x00000000001CFD42 crits 0xF130002C5D00BF8A for 220.
2/16 21:08:00.266  0x0000000000426076 misses 0xF130002C5D00BF8A.
2/16 21:08:00.338  0x00000000006DE13F's Arcane Missiles hits 0xF130002C5D00BF8A for 109 Arcane damage.
2/16 21:08:00.338  CAST: 0x00000000006DE13F(Dimitriiy) casts Arcane Missiles(25346)(Rank 8) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:08:00.338  0xF130002C5D00BF8A suffers 129 Physical damage from 0x00000000001CFD42's Garrote.
2/16 21:08:00.338  0xF130002C5D00BF8A dies.
2/16 21:08:00.354  CAST: 0xF130002C5D00BF8A(Son of Hakkar) casts Poisonous Blood(24320) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:09:35.198  CAST: 0x0000000000672CE0(Satrell) begins to cast Starfire(8949)(Rank 2) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:09:38.332  CAST: 0x0000000000672CE0(Satrell) casts Starfire(8949)(Rank 2) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:09:38.332  0x0000000000672CE0's Starfire hits 0xF130002C5D00BF8A for 176 Arcane damage.
2/16 21:09:40.658  CAST: 0x00000000006CEDB4(Qoppa) begins to cast Polymorph: Pig(28272) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:09:41.131  CAST: 0x0000000000672CE0(Satrell) begins to cast Hibernate(18657)(Rank 2) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:09:41.709  0x0000000000672CE0 reflects 38 Nature damage to 0xF130002C5D00BF8A.
2/16 21:09:41.709  0xF130002C5D00BF8A hits 0x0000000000672CE0 for 775.
2/16 21:09:41.973  CAST: 0x00000000006CEDB4(Qoppa) casts Polymorph: Pig(28272) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:09:41.973  0x00000000006CEDB4 casts Polymorph: Pig on 0xF130002C5D00BF8A.
2/16 21:09:41.973  0xF130002C5D00BF8A is afflicted by Polymorph: Pig (1).
2/16 21:09:43.123  CAST: 0x0000000000672CE0(Satrell) casts Hibernate(18657)(Rank 2) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:09:43.123  0xF130002C5D00BF8A is afflicted by Hibernate (1).
2/16 21:10:08.044  Hibernate fades from 0xF130002C5D00BF8A.
2/16 21:10:21.600  CAST: 0x00000000006CEDB4(Qoppa) begins to cast Polymorph: Pig(28272) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:10:22.806  CAST: 0x00000000006CEDB4(Qoppa) casts Polymorph: Pig(28272) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:10:22.806  0x00000000006CEDB4 casts Polymorph: Pig on 0xF130002C5D00BF8A.
2/16 21:10:54.776  CAST: 0x00000000006CEDB4(Qoppa) begins to cast Arcane Rupture(51954)(Rank 6) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:10:56.953  CAST: 0x00000000006CEDB4(Qoppa) casts Arcane Rupture(51954)(Rank 6) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:10:56.953  UNIT_INFO: 16.02.26 21:10:56&0xF130002C5D00BF8A&0&Son of Hakkar&0&&&60&na&10071
2/16 21:10:56.953  0x00000000006CEDB4's Arcane Rupture hits 0xF130002C5D00BF8A for 1271 Arcane damage.
2/16 21:10:56.953  Polymorph: Pig fades from 0xF130002C5D00BF8A.
2/16 21:10:57.843  CAST: 0xF130002C5D00BF8A(Son of Hakkar) casts Thrash(3391) on 0x00000000006CEDB4(Qoppa).
2/16 21:10:57.843  0xF130002C5D00BF8A gains 2 extra attacks through Thrash.
2/16 21:10:58.758  0xF130002C5D00BF8A hits 0x00000000006CEDB4 for 0. (1091 absorbed)
2/16 21:10:58.758  CAST: 0xF130002C5D00BF8A(Son of Hakkar) casts Dazed(1604) on 0x00000000006CEDB4(Qoppa).
2/16 21:10:58.758  0xF130002C5D00BF8A performs Dazed on 0x00000000006CEDB4.
2/16 21:10:58.758  0xF130002C5D00BF8A hits 0x00000000006CEDB4 for 951. (129 absorbed)
2/16 21:10:59.049  CAST: 0x00000000006CEDB4(Qoppa) channels Arcane Missiles(25345)(Rank 8) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:10:59.976  CAST: 0xF130002C5D00BF8A(Son of Hakkar) casts Knockdown(16790) on 0x00000000006CEDB4(Qoppa).
2/16 21:10:59.992  0xF130002C5D00BF8A's Knockdown hits 0x00000000006CEDB4 for 131.
2/16 21:10:59.992  0xF130002C5D00BF8A's Knockdown hits 0x00000000001CFD42 for 105.
2/16 21:10:59.992  0xF130002C5D00BF8A's Knockdown hits 0x0000000000426076 for 149.
2/16 21:11:00.358  CAST: 0x00000000006DE13F(Dimitriiy) begins to cast Polymorph(12826)(Rank 4) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:11:00.693  0xF130002C5D00BF8A hits 0x00000000006CEDB4 for 1099.
2/16 21:11:01.802  CAST: 0x00000000006DE13F(Dimitriiy) casts Polymorph(12826)(Rank 4) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:11:01.802  0x00000000006DE13F casts Polymorph on 0xF130002C5D00BF8A.
2/16 21:11:01.802  0xF130002C5D00BF8A is afflicted by Polymorph (1).
2/16 21:11:03.048  CAST: 0x00000000006CEDB4(Qoppa) channels Arcane Missiles(25345)(Rank 8) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:11:03.457  0x0000000000426076's Whirlwind crits 0xF130002C5D00BF8A for 337.
2/16 21:11:03.457  CAST: 0x0000000000426076(Gustas) casts Deep Wounds(12868)(Rank 3) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:11:03.461  Polymorph fades from 0xF130002C5D00BF8A.
2/16 21:11:03.628  CAST: 0xF130002C5D00BF8A(Son of Hakkar) casts Dazed(1604) on 0x00000000006CEDB4(Qoppa).
2/16 21:11:03.628  0xF130002C5D00BF8A performs Dazed on 0x00000000006CEDB4.
2/16 21:11:03.628  0xF130002C5D00BF8A hits 0x00000000006CEDB4 for 1025.
2/16 21:11:03.712  Your Fire Strike hits 0xF130002C5D00BF8A for 4 Fire damage. (1 resisted)
2/16 21:11:03.712  Your Seal of Righteousness hits 0xF130002C5D00BF8A for 127 Holy damage.
2/16 21:11:03.712  Your Fire Strike hits 0xF130002C5D00BF8A for 3 Fire damage. (1 resisted)
2/16 21:11:03.712  Your Divine Strike was resisted by 0xF130002C5D00BF8A.
2/16 21:11:03.712  Your Divine Strike hits 0xF130002C5D00BF8A for 4 Holy damage.
2/16 21:11:03.712  You hit 0xF130002C5D00BF8A for 151.
2/16 21:11:04.049  CAST: 0x00000000006DE13F(Dimitriiy) channels Arcane Missiles(25345)(Rank 8) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:11:04.146  CAST: 0xF130002C5D00BF8A(Son of Hakkar) casts Thrash(3391) on 0x00000000006CEDB4(Qoppa).
2/16 21:11:04.146  0xF130002C5D00BF8A gains 2 extra attacks through Thrash.
2/16 21:11:04.146  0xF130002C5D00BF8A crits 0x00000000006CEDB4 for 2330.
2/16 21:11:04.146  0xF130002C5D00BF8A hits 0x00000000006CEDB4 for 1022.
2/16 21:11:04.962  CAST: 0x00000000006DE13F(Dimitriiy) casts Arcane Missiles(25346)(Rank 8) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:11:05.284  CAST: 0x00000000006BCEA8(Plars) casts Echoed Thunder(51842) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:11:05.284  0x00000000006BCEA8's Echoed Thunder hits 0xF130002C5D00BF8A for 46 Nature damage.
2/16 21:11:05.284  0x00000000006BCEA8 hits 0xF130002C5D00BF8A for 372.
2/16 21:11:05.394  CAST: 0x00000000006BCEA8(Plars) casts Stormstrike(17364) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:11:05.394  0x00000000006BCEA8's Stormstrike crits 0xF130002C5D00BF8A for 801.
2/16 21:11:05.394  0x00000000006DE13F's Arcane Missiles hits 0xF130002C5D00BF8A for 441 Arcane damage.
2/16 21:11:05.394  CAST: 0x00000000006DE13F(Dimitriiy) casts Arcane Instability(51977) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:11:05.394  0x00000000006DE13F's Arcane Instability hits 0xF130002C5D00BF8A for 110 Arcane damage.
2/16 21:11:05.854  CAST: 0x00000000006DE13F(Dimitriiy) casts Arcane Missiles(25346)(Rank 8) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:11:06.230  0x00000000006DE13F's Arcane Missiles hits 0xF130002C5D00BF8A for 441 Arcane damage.
2/16 21:11:06.230  CAST: 0x00000000006DE13F(Dimitriiy) casts Arcane Missiles(25346)(Rank 8) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:11:06.230  0x00000000006BCEA8's Lightning Shield hits 0xF130002C5D00BF8A for 247 Nature damage.
2/16 21:11:06.230  0xF130002C5D00BF8A hits 0x00000000006BCEA8 for 770.
2/16 21:11:06.458  CAST: 0x00000000006CEDB4(Qoppa) channels Arcane Missiles(25345)(Rank 8) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:11:06.728  0x00000000006DE13F's Arcane Missiles hits 0xF130002C5D00BF8A for 220 Arcane damage.
2/16 21:11:06.728  CAST: 0x00000000006DE13F(Dimitriiy) casts Arcane Instability(51977) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:11:06.728  0x00000000006DE13F's Arcane Instability hits 0xF130002C5D00BF8A for 55 Arcane damage.
2/16 21:11:06.799  CAST: 0x00000000006DE13F(Dimitriiy) casts Arcane Missiles(25346)(Rank 8) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:11:06.980  CAST: 0x00000000006BCEA8(Plars) casts Earth Shock(10414)(Rank 7) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:11:06.980  0x00000000006BCEA8's Earth Shock hits 0xF130002C5D00BF8A for 942 Nature damage.
2/16 21:11:07.170  0x00000000006DE13F's Arcane Missiles crits 0xF130002C5D00BF8A for 882 Arcane damage.
2/16 21:11:07.170  CAST: 0x00000000006DE13F(Dimitriiy) casts Arcane Missiles(25346)(Rank 8) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:11:07.327  0x0000000000672CE0 crits 0xF130002C5D00BF8A for 528.
2/16 21:11:07.327  CAST: 0x00000000006CEDB4(Qoppa) casts Arcane Missiles(25346)(Rank 8) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:11:07.581  0x00000000006DE13F's Arcane Missiles crits 0xF130002C5D00BF8A for 440 Arcane damage.
2/16 21:11:07.730  0x00000000006CEDB4's Arcane Missiles hits 0xF130002C5D00BF8A for 392 Arcane damage.
2/16 21:11:07.730  CAST: 0x00000000006CEDB4(Qoppa) casts Arcane Missiles(25346)(Rank 8) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:11:07.777  0x0000000000426076 misses 0xF130002C5D00BF8A.
2/16 21:11:07.777  CAST: 0x00000000006DE13F(Dimitriiy) casts Arcane Missiles(25346)(Rank 8) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:11:07.899  CAST: 0x0000000000672CE0(Satrell) casts Savage Bite(45736) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:11:07.899  0x0000000000672CE0's Savage Bite hits 0xF130002C5D00BF8A for 286.
2/16 21:11:07.899  0x0000000000672CE0 crits 0xF130002C5D00BF8A for 548.
2/16 21:11:07.899  CAST: 0x0000000000426076(Gustas) casts Deep Wounds(12868)(Rank 3) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:11:07.899  CAST: 0x0000000000426076(Gustas) casts Deep Wound(12721) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:11:07.899  0x0000000000426076 crits 0xF130002C5D00BF8A for 288.
2/16 21:11:07.899  CAST: 0x0000000000426076(Gustas) casts Deep Wounds(12868)(Rank 3) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:11:07.899  0x0000000000426076 crits 0xF130002C5D00BF8A for 140.
2/16 21:11:07.899  0xF130002C5D00BF8A is afflicted by Deep Wound (1).
2/16 21:11:08.123  0x00000000006BCEA8 crits 0xF130002C5D00BF8A for 724.
2/16 21:11:08.123  0x00000000006CEDB4's Arcane Missiles hits 0xF130002C5D00BF8A for 196 Arcane damage.
2/16 21:11:08.123  CAST: 0x00000000006CEDB4(Qoppa) casts Arcane Instability(51977) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:11:08.123  0x00000000006CEDB4's Arcane Instability hits 0xF130002C5D00BF8A for 49 Arcane damage.
2/16 21:11:08.123  0x00000000006E1670 hits 0xF130002C5D00BF8A for 115.
2/16 21:11:08.172  0x00000000006BCEA8 attacks. 0xF130002C5D00BF8A parries.
2/16 21:11:08.172  0x00000000006BCEA8 crits 0xF130002C5D00BF8A for 786.
2/16 21:11:08.172  0x00000000006E1670 hits 0xF130002C5D00BF8A for 102.
2/16 21:11:08.279  0x00000000006DE13F's Arcane Missiles hits 0xF130002C5D00BF8A for 441 Arcane damage.
2/16 21:11:08.279  CAST: 0x00000000006DE13F(Dimitriiy) casts Arcane Instability(51977) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:11:08.279  0x00000000006DE13F's Arcane Instability hits 0xF130002C5D00BF8A for 110 Arcane damage.
2/16 21:11:08.279  0xF130002C5D00BF8A dies.
2/16 21:11:08.293  CAST: 0xF130002C5D00BF8A(Son of Hakkar) casts Poisonous Blood(24320) on 0xF130002C5D00BF8A(Son of Hakkar).
