2/16 21:05:22.755  CAST: The Lost begins to cast Soul Rot(51128) on Son of Hakkar.
2/16 21:07:10.759  Satrell reflects 38 Nature damage to Son of Hakkar.
2/16 21:07:10.759  Son of Hakkar hits Satrell for 547.
2/16 21:07:10.926  CAST: Azrellion casts Deep Wounds(12868)(Rank 3) on Son of Hakkar.
2/16 21:07:10.926  CAST: Azrellion casts Deep Wound(12721) on Son of Hakkar.
2/16 21:07:10.926  Azrellion crits Son of Hakkar for 302.
2/16 21:07:10.926  Son of Hakkar is afflicted by Deep Wound (1).
2/16 21:07:11.144  Son of Hakkar is afflicted by Demoralizing Roar (1).
2/16 21:07:11.144  Son of Hakkar is afflicted by Demoralizing Roar (1).
2/16 21:07:11.355  CAST: Son of Hakkar casts Knockdown(16790) on Azrellion.
2/16 21:07:11.624  Son of Hakkar's Knockdown hits Azrellion for 63.
2/16 21:07:11.624  Son of Hakkar's Knockdown hits Satrell for 45.
2/16 21:07:11.624  Son of Hakkar's Knockdown hits Ashsoul for 76.
2/16 21:07:12.446  Son of Hakkar suffers 56 Physical damage from Azrellion's Deep Wound.
2/16 21:07:12.723  Azrellion reflects 4 Fire damage to Son of Hakkar.
2/16 21:07:12.723  Son of Hakkar hits Azrellion for 406.
2/16 21:07:12.831  CAST: Son of Hakkar casts Knockdown(16790) on Satrell.
2/16 21:07:13.008  Plars crits Son of Hakkar for 662.
2/16 21:07:13.008  Son of Hakkar's Knockdown hits Satrell for 46.
2/16 21:07:13.008  Son of Hakkar's Knockdown hits Azrellion for 63.
2/16 21:07:13.008  Son of Hakkar's Knockdown hits Ashsoul for 76.
2/16 21:07:13.008  Satrell reflects 38 Nature damage to Son of Hakkar.
2/16 21:07:13.008  Son of Hakkar hits Satrell for 307.
2/16 21:07:13.313  CAST: Plars casts Stormstrike(17364) on Son of Hakkar.
2/16 21:07:13.313  Plars's Stormstrike crits Son of Hakkar for 721.
2/16 21:07:13.867  Son of Hakkar suffers 56 Physical damage from Azrellion's Deep Wound.
2/16 21:07:13.990  Azrellion hits Son of Hakkar for 152.
2/16 21:07:14.292  CAST: Satrell casts Swipe(9908)(Rank 5) on Son of Hakkar.
2/16 21:07:14.292  Satrell's Swipe hits Son of Hakkar for 100.
2/16 21:07:14.292  Satrell's Swipe crits Son of Hakkar for 200.
2/16 21:07:14.446  CAST: Satrell casts Maul(9881)(Rank 7) on Son of Hakkar.
2/16 21:07:14.446  Satrell's Maul hits Son of Hakkar for 376.
2/16 21:07:14.542  Satrell attacks. Son of Hakkar dodges.
2/16 21:07:14.943  CAST: Plars casts Lightning Strike(52422)(Rank 3) on Son of Hakkar.
2/16 21:07:14.943  Plars's Lightning Strike hits Son of Hakkar for 187 Nature damage.
2/16 21:07:14.943  Plars's Lightning Strike crits Son of Hakkar for 411. (36 blocked)
2/16 21:07:14.945  CAST: Plars casts Echoed Thunder(51842) on Son of Hakkar.
2/16 21:07:14.945  Plars's Echoed Thunder hits Son of Hakkar for 46 Nature damage.
2/16 21:07:14.945  Plars hits Son of Hakkar for 373.
2/16 21:07:14.945  Plars crits Son of Hakkar for 724.
2/16 21:07:14.945  Son of Hakkar hits Plars for 681.
2/16 21:07:15.178  Satrell reflects 38 Nature damage to Son of Hakkar.
2/16 21:07:15.178  Son of Hakkar hits Satrell for 311.
2/16 21:07:15.452  Son of Hakkar suffers 56 Physical damage from Azrellion's Deep Wound.
2/16 21:07:15.834  CAST: Azrellion casts Heroic Strike(25286)(Rank 9) on Son of Hakkar.
2/16 21:07:15.834  Azrellion's Heroic Strike hits Son of Hakkar for 225.
2/16 21:07:16.114  CAST: Mooshmallows begins to cast Earthquake(48308)(Rank 3) on Son of Hakkar.
2/16 21:07:16.470  CAST: Plars casts Earth Shock(10414)(Rank 7) on Son of Hakkar.
2/16 21:07:16.470  Plars's Earth Shock hits Son of Hakkar for 907 Nature damage.
2/16 21:07:16.671  Satrell hits Son of Hakkar for 254.
2/16 21:07:16.772  Satrell hits Son of Hakkar for 254.
2/16 21:07:16.877  Son of Hakkar suffers 56 Physical damage from Azrellion's Deep Wound.
2/16 21:07:16.877  Deep Wound fades from Son of Hakkar.
2/16 21:07:16.987  CAST: Satrell casts Swipe(9908)(Rank 5) on Son of Hakkar.
2/16 21:07:16.987  Satrell's Swipe hits Son of Hakkar for 100.
2/16 21:07:16.987  Son of Hakkar attacks. Plars dodges.
2/16 21:07:17.301  Satrell reflects 38 Nature damage to Son of Hakkar.
2/16 21:07:17.304  Son of Hakkar hits Satrell for 322.
2/16 21:07:17.611  Plars hits Son of Hakkar for 356.
2/16 21:07:17.611  Azrellion hits Son of Hakkar for 163.
2/16 21:07:17.722  Plars crits Son of Hakkar for 744.
2/16 21:07:17.722  Plars hits Son of Hakkar for 375. (glancing)
2/16 21:07:17.722  CAST: Son of Hakkar casts Thrash(3391) on Satrell.
2/16 21:07:17.722  Son of Hakkar gains 2 extra attacks through Thrash.
2/16 21:07:17.727  Satrell reflects 37 Nature damage to Son of Hakkar.
2/16 21:07:17.727  Son of Hakkar hits Satrell for 331.
2/16 21:07:17.727  Satrell reflects 38 Nature damage to Son of Hakkar.
2/16 21:07:17.727  Son of Hakkar hits Satrell for 315.
2/16 21:07:18.384  CAST: Satrell casts Growl(6795) on Son of Hakkar.
2/16 21:07:18.384  Satrell performs Growl on Son of Hakkar.
2/16 21:07:18.384  Son of Hakkar is afflicted by Growl (1).
2/16 21:07:18.501  CAST: Mooshmallows casts Earthquake(48308)(Rank 3) on Son of Hakkar.
2/16 21:07:18.501  Mooshmallows's Earthquake hits Son of Hakkar for 763 Nature damage.
2/16 21:07:18.501  Son of Hakkar is afflicted by Earthquake (1).
2/16 21:07:18.501  Son of Hakkar is afflicted by Earthquake (1).
2/16 21:07:18.620  CAST: Satrell casts Swipe(9908)(Rank 5) on Son of Hakkar.
2/16 21:07:18.620  Satrell's Swipe crits Son of Hakkar for 201.
2/16 21:07:18.620  Satrell's Swipe hits Son of Hakkar for 100.
2/16 21:07:18.620  CAST: Mooshmallows casts Earthquake(51489) on Son of Hakkar.
2/16 21:07:18.620  Mooshmallows's Earthquake hits Son of Hakkar for 221 Nature damage. (73 resisted)
2/16 21:07:18.620  Mooshmallows's Earthquake hits Son of Hakkar for 294 Nature damage.
2/16 21:07:18.713  CAST: Mooshmallows casts Flame Shock(10448)(Rank 5) on Son of Hakkar.
2/16 21:07:18.713  Mooshmallows's Flame Shock crits Son of Hakkar for 870 Fire damage.
2/16 21:07:18.713  Son of Hakkar is afflicted by Flame Shock (1).
2/16 21:07:18.940  CAST: Satrell casts Maul(9881)(Rank 7) on Son of Hakkar.
2/16 21:07:18.940  Satrell's Maul hits Son of Hakkar for 397.
2/16 21:07:19.133  Satrell reflects 37 Nature damage to Son of Hakkar.
2/16 21:07:19.133  Son of Hakkar hits Satrell for 326.
2/16 21:07:19.247  CAST: Satrell casts Savage Bite(45736) on Son of Hakkar.
2/16 21:07:19.247  Satrell's Savage Bite was dodged by Son of Hakkar.
2/16 21:07:19.448  CAST: Azrellion casts Cleave(20569)(Rank 5) on Son of Hakkar.
2/16 21:07:19.448  Azrellion's Cleave hits Son of Hakkar for 193.
2/16 21:07:19.448  Azrellion's Cleave hits Son of Hakkar for 198.
2/16 21:07:19.843  Satrell reflects 37 Nature damage to Son of Hakkar.
2/16 21:07:19.843  Son of Hakkar hits Satrell for 342.
2/16 21:07:20.314  Son of Hakkar dies.
2/16 21:07:20.314  UNIT_DIED:Son of Hakkar:0xF130002C5D00C8E5
2/16 21:07:20.314  CAST: Son of Hakkar casts Poisonous Blood(24320) on Son of Hakkar.
2/16 21:07:20.314  Plars hits Son of Hakkar for 366.
2/16 21:07:20.995  Earthquake fades from Son of Hakkar.
2/16 21:07:21.778  Son of Hakkar is afflicted by Consecration (1).
2/16 21:07:22.055  Satrell reflects 38 Nature damage to Son of Hakkar.
2/16 21:07:22.055  Son of Hakkar hits Satrell for 311.
2/16 21:07:22.195  Son of Hakkar is afflicted by Thunderfury (1).
2/16 21:07:22.501  CAST: Son of Hakkar casts Knockdown(16790) on Satrell.
2/16 21:07:22.567  CAST: Mooshmallows casts Earthquake(51489) on Son of Hakkar.
2/16 21:07:22.706  Son of Hakkar's Knockdown hits Satrell for 50.
2/16 21:07:22.706  Son of Hakkar's Knockdown hits you for 80.
2/16 21:07:22.706  Son of Hakkar's Knockdown hits Gustas for 113.
2/16 21:07:22.706  Son of Hakkar suffers 96 Holy damage from your Consecration.
2/16 21:07:23.025  CAST: Plars casts Stormstrike(17364) on Son of Hakkar.
2/16 21:07:23.025  Plars's Stormstrike hits Son of Hakkar for 389.
2/16 21:07:23.025  Plars hits Son of Hakkar for 356.
2/16 21:07:23.213  CAST: Qoppa channels Arcane Missiles(25345)(Rank 8) on Son of Hakkar.
2/16 21:07:23.462  Mooshmallows's Flametongue Attack hits Son of Hakkar for 67 Fire damage.
2/16 21:07:23.462  Mooshmallows hits Son of Hakkar for 62.
2/16 21:07:23.644  CAST: Satrell casts Swipe(9908)(Rank 5) on Son of Hakkar.
2/16 21:07:23.644  Satrell's Swipe hits Son of Hakkar for 100.
2/16 21:07:23.762  Son of Hakkar suffers 97 Holy damage from your Consecration.
2/16 21:07:24.135  CAST: Qoppa casts Arcane Missiles(25346)(Rank 8) on Son of Hakkar.
2/16 21:07:24.135  Satrell reflects 38 Nature damage to Son of Hakkar.
2/16 21:07:24.135  Son of Hakkar hits Satrell for 329.
2/16 21:07:24.309  CAST: Satrell casts Maul(9881)(Rank 7) on Son of Hakkar.
2/16 21:07:24.309  Satrell's Maul was dodged by Son of Hakkar.
2/16 21:07:24.309  CAST: Dimitriiy channels Arcane Missiles(25345)(Rank 8) on Son of Hakkar.
2/16 21:07:24.656  CAST: Netheras casts Sinister Strike(11294)(Rank 8) on Son of Hakkar.
2/16 21:07:24.656  Netheras's Sinister Strike hits Son of Hakkar for 283.
2/16 21:07:24.656  Netheras crits Son of Hakkar for 304.
2/16 21:07:24.656  CAST: Plars casts Lightning Strike(52422)(Rank 3) on Son of Hakkar.
2/16 21:07:24.656  Plars's Lightning Strike hits Son of Hakkar for 187 Nature damage.
2/16 21:07:24.656  Plars's Lightning Strike crits Son of Hakkar for 432.
2/16 21:07:24.656  CAST: Plars casts Echoed Thunder(51842) on Son of Hakkar.
2/16 21:07:24.656  Plars's Echoed Thunder hits Son of Hakkar for 46 Nature damage.
2/16 21:07:24.656  Plars hits Son of Hakkar for 372.
2/16 21:07:24.656  Plars hits Son of Hakkar for 389.
2/16 21:07:24.768  Son of Hakkar suffers 96 Holy damage from your Consecration.
2/16 21:07:24.872  Mooshmallows's Flametongue Attack hits Son of Hakkar for 68 Fire damage.
2/16 21:07:24.872  Mooshmallows hits Son of Hakkar for 56.
2/16 21:07:24.956  CAST: Qoppa casts Arcane Missiles(25346)(Rank 8) on Son of Hakkar.
2/16 21:07:25.074  CAST: Azrellion casts Heroic Strike(25286)(Rank 9) on Son of Hakkar.
2/16 21:07:25.074  Azrellion's Heroic Strike crits Son of Hakkar for 577.
2/16 21:07:25.074  CAST: Azrellion casts Deep Wounds(12868)(Rank 3) on Son of Hakkar.
2/16 21:07:25.074  CAST: Azrellion casts Deep Wound(12721) on Son of Hakkar.
2/16 21:07:25.074  Son of Hakkar is afflicted by Deep Wound (1).
2/16 21:07:25.207  CAST: Satrell casts Swipe(9908)(Rank 5) on Son of Hakkar.
2/16 21:07:25.207  Satrell's Swipe crits Son of Hakkar for 201.
2/16 21:07:25.207  CAST: Netheras casts Dissolvent Poison II(45880)(Rank 2) on Son of Hakkar.
2/16 21:07:25.207  Netheras's Dissolvent Poison II hits Son of Hakkar for 209.
2/16 21:07:25.207  Netheras hits Son of Hakkar for 207. (glancing)
2/16 21:07:25.207  CAST: Azrellion casts Deep Wounds(12868)(Rank 3) on Son of Hakkar.
2/16 21:07:25.207  Azrellion crits Son of Hakkar for 332.
2/16 21:07:25.207  Your Fire Strike hits Son of Hakkar for 5 Fire damage.
2/16 21:07:25.207  Your Seal of Righteousness hits Son of Hakkar for 125 Holy damage.
2/16 21:07:25.211  Your Fire Strike hits Son of Hakkar for 3 Fire damage. (1 resisted)
2/16 21:07:25.211  Your Divine Strike hits Son of Hakkar for 4 Holy damage.
2/16 21:07:25.211  Your Divine Strike hits Son of Hakkar for 4 Holy damage.
2/16 21:07:25.211  You hit Son of Hakkar for 127. (glancing)
2/16 21:07:25.211  CAST: Dimitriiy casts Arcane Missiles(25346)(Rank 8) on Son of Hakkar.
2/16 21:07:25.287  Your Fire Strike hits Son of Hakkar for 4 Fire damage. (1 resisted)
2/16 21:07:25.287  Your Seal of Righteousness hits Son of Hakkar for 126 Holy damage.
2/16 21:07:25.289  Your Fire Strike hits Son of Hakkar for 5 Fire damage.
2/16 21:07:25.289  Your Divine Strike hits Son of Hakkar for 4 Holy damage.
2/16 21:07:25.289  CAST: Nefras casts Vindication(26017)(Rank 2) on Son of Hakkar.
2/16 21:07:25.289  Your Divine Strike hits Son of Hakkar for 4 Holy damage.
2/16 21:07:25.289  You hit Son of Hakkar for 148.
2/16 21:07:25.320  Son of Hakkar is afflicted by Vindication (1).
2/16 21:07:25.430  CAST: Mooshmallows begins to cast Chain Lightning(10605)(Rank 4) on Son of Hakkar.
2/16 21:07:25.524  CAST: Satrell casts Savage Bite(45736) on Son of Hakkar.
2/16 21:07:25.524  Satrell's Savage Bite crits Son of Hakkar for 539.
2/16 21:07:25.623  CAST: Gustas casts Cleave(20569)(Rank 5) on Son of Hakkar.
2/16 21:07:25.623  Gustas's Cleave hits Son of Hakkar for 194.
2/16 21:07:25.699  Qoppa's Arcane Missiles crits Son of Hakkar for 942 Arcane damage.
2/16 21:07:25.699  CAST: Qoppa casts Arcane Instability(51977) on Son of Hakkar.
2/16 21:07:25.699  Qoppa's Arcane Instability hits Son of Hakkar for 236 Arcane damage.
2/16 21:07:25.699  CAST: Gustas casts Frostbolt(52663) on Son of Hakkar.
2/16 21:07:25.699  Gustas hits Son of Hakkar for 69.
2/16 21:07:25.779  Dimitriiy's Arcane Missiles hits Son of Hakkar for 441 Arcane damage.
2/16 21:07:25.779  Son of Hakkar suffers 97 Holy damage from your Consecration.
2/16 21:07:25.869  CAST: Netheras casts Eviscerate(31016)(Rank 9) on Son of Hakkar.
2/16 21:07:25.869  Netheras's Eviscerate hits Son of Hakkar for 265.
2/16 21:07:25.869  CAST: Qoppa casts Arcane Missiles(25346)(Rank 8) on Son of Hakkar.
2/16 21:07:25.948  Gustas's Frostbolt hits Son of Hakkar for 37 Frost damage.
2/16 21:07:25.948  Son of Hakkar is afflicted by Frostbolt (1).
2/16 21:07:26.112  CAST: Dimitriiy casts Arcane Missiles(25346)(Rank 8) on Son of Hakkar.
2/16 21:07:26.243  Son of Hakkar dies.
2/16 21:07:26.243  UNIT_DIED:Son of Hakkar:0xF130002C5D00C8E4
2/16 21:07:26.243  CAST: Son of Hakkar casts Poisonous Blood(24320) on Son of Hakkar.
2/16 21:07:26.243  Netheras crits Son of Hakkar for 314.
