2/15 17:33:35.102  CAST: 0x0000000000671818(Milktrader) begins to cast Shoot Bow(2480) on 0xF13000290200BF3F(Spectral Tutor).
2/15 17:33:51.680  CAST: 0xF1300028FF01651B(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF01651B(Diseased Ghoul).
2/15 17:33:51.680  CAST: 0xF1300028FF016513(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF016513(Diseased Ghoul).
2/15 17:33:51.680  CAST: 0xF1300028FF00BE7D(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BE7D(Diseased Ghoul).
2/15 17:33:51.680  CAST: 0xF1300028FF00BD5D(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BD5D(Diseased Ghoul).
2/15 17:33:51.680  CAST: 0xF1300028FF00BE84(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BE84(Diseased Ghoul).
2/15 17:33:51.680  CAST: 0xF1300028FF00BE79(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BE79(Diseased Ghoul).
2/15 17:33:51.680  CAST: 0xF1300028FF00BF57(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF57(Diseased Ghoul).
2/15 17:33:51.680  CAST: 0xF1300028FF00BEA9(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEA9(Diseased Ghoul).
2/15 17:33:51.680  CAST: 0xF1300028FF00BEBB(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEBB(Diseased Ghoul).
2/15 17:33:51.680  CAST: 0xF1300028FF00BE80(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BE80(Diseased Ghoul).
2/15 17:33:51.680  CAST: 0xF1300028FF00BDC9(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BDC9(Diseased Ghoul).
2/15 17:33:51.680  CAST: 0xF1300028FF00BE81(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BE81(Diseased Ghoul).
2/15 17:33:51.680  CAST: 0xF1300028FF00BEB2(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEB2(Diseased Ghoul).
2/15 17:33:51.680  CAST: 0xF1300028FF016517(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF016517(Diseased Ghoul).
2/15 17:33:51.680  CAST: 0xF1300028FF00BEB0(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEB0(Diseased Ghoul).
2/15 17:33:51.680  CAST: 0xF1300028FF00BF61(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF61(Diseased Ghoul).
2/15 17:33:51.680  CAST: 0xF1300028FF00BEAC(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEAC(Diseased Ghoul).
2/15 17:33:51.680  CAST: 0xF1300028FF00BEC4(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEC4(Diseased Ghoul).
2/15 17:33:51.680  CAST: 0xF1300028FF00BF5B(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF5B(Diseased Ghoul).
2/15 17:33:51.680  CAST: 0xF1300028FF00BEC5(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEC5(Diseased Ghoul).
2/15 17:33:51.680  CAST: 0xF1300028FF00BF67(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF67(Diseased Ghoul).
2/15 17:33:51.680  CAST: 0xF1300028FF00BEC0(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEC0(Diseased Ghoul).
2/15 17:33:51.719  You fail to perform Sinister Strike: Out of range.
2/15 17:33:51.819  You fail to perform Sinister Strike: Out of range.
2/15 17:33:51.902  0xF1300028E500BE93's Frostbolt hits 0x00000000006E1670 for 369 Frost damage.
2/15 17:33:51.902  0xF140102430000002 suffers 41 Holy damage from 0x00000000006E1670's Consecration.
2/15 17:33:51.902  Windfury Totem fades from 0x0000000000426076.
2/15 17:33:52.157  Faithful fades from you.
2/15 17:33:52.272  CAST: 0x0000000000671818(Milktrader) casts Sinister Strike(11294)(Rank 8) on 0xF1300028E50164EC(Scholomance Adept).
2/15 17:33:52.275  Your Sinister Strike hits 0xF1300028E50164EC for 304.
2/15 17:33:52.275  CAST: 0x0000000000671818(Milktrader) casts Windfury Totem(51368) on 0x0000000000671818(Milktrader).
2/15 17:33:52.275  You gain 1 extra attack through Windfury Totem.
2/15 17:33:52.275  You crit 0xF1300028E50164EC for 416.
2/15 17:33:52.275  CAST: 0x0000000000671818(Milktrader) casts Hack and Slash(52634) on 0x0000000000671818(Milktrader).
2/15 17:33:52.275  You hit 0xF1300028E50164EC for 199.
2/15 17:33:52.648  0x00000000001CFD42 crits 0xF1300028E50164EC for 372.
2/15 17:33:52.755  0x00000000006E1670 gains 10 Mana from 0xF130001CF82793CF's Mana Spring.
2/15 17:33:52.760  0x00000000006E5FF9 gains 10 Mana from 0xF130001CF82793CF's Mana Spring.
2/15 17:33:52.792  CAST: 0x00000000001CFD42(Netheras) casts Slice and Dice(6774)(Rank 2) on 0xF1300028E50164EC(Scholomance Adept).
2/15 17:33:52.792  0x00000000001CFD42 gains 20 Energy from 0x00000000001CFD42's Relentless Strikes.
2/15 17:33:52.792  0x00000000001CFD42 gains Slice and Dice (1).
2/15 17:33:52.792  0x00000000001CFD42 gains Relentless Strikes (4).
2/15 17:33:52.909  CAST: 0x0000000000671818(Milktrader) casts Rogue Armor Energize(27788) on 0x0000000000671818(Milktrader).
2/15 17:33:52.909  You gain 35 Energy from Rogue Armor Energize.
2/15 17:33:52.909  You crit 0xF1300028E50164EC for 140.
2/15 17:33:53.209  You fail to perform Kick: Not yet recovered.
2/15 17:33:53.316  CAST: 0x0000000000671818(Milktrader) casts Kick(1769)(Rank 4) on 0xF1300028E50164EC(Scholomance Adept).
2/15 17:33:53.316  CAST: 0xF1300028E50164EC(Scholomance Adept) fails casting Frostbolt(15043).
2/15 17:33:53.316  Your Kick hits 0xF1300028E50164EC for 53.
2/15 17:33:53.939  CAST: 0x00000000001CFD42(Netheras) casts Adrenaline Rush(13750).
2/15 17:33:53.939  0x00000000001CFD42 hits 0xF1300028E50164EC for 271.
2/15 17:33:53.939  0x00000000001CFD42 gains Adrenaline Rush (1).
2/15 17:33:53.995  CAST: 0x00000000006E1670(Ashsoul) casts Holy Strike(10333)(Rank 8) on 0xF1300028E50164EC(Scholomance Adept).
2/15 17:33:53.995  0x00000000006E1670's Holy Strike hits 0xF1300028E50164EC for 333 Holy damage.
2/15 17:33:53.995  0x00000000006E1670's Mending Light heals you for 437.
2/15 17:33:53.995  0x00000000006E1670's Mending Light heals 0x0000000000426076 for 437.
2/15 17:33:53.995  0x00000000006E1670's Mending Light heals 0x00000000006E1670 for 218.
2/15 17:33:53.995  0x00000000006E1670 gains 90 Mana from 0x00000000006E1670's Mending Light.
2/15 17:33:53.995  CAST: 0x00000000006E5FF9(Mooshmallows) casts Flame Shock(10448)(Rank 5) on 0xF1300028E50164EC(Scholomance Adept).
2/15 17:33:53.995  0x00000000006E5FF9's Flame Shock crits 0xF1300028E50164EC for 730 Fire damage.
2/15 17:33:53.995  CAST: 0x00000000006E5FF9(Mooshmallows) casts Clearcasting(45542) on 0x00000000006E5FF9(Mooshmallows).
2/15 17:33:53.995  0xF1300028E50164EC is afflicted by Flame Shock (1).
2/15 17:33:53.995  0x00000000006E5FF9 gains Clearcasting (1).
2/15 17:33:54.147  CAST: 0x00000000006E1670(Ashsoul) casts Seal of Wisdom(51747)(Rank 4) on 0x00000000006E1670(Ashsoul).
2/15 17:33:54.147  0x00000000006E1670 gains 143 Mana from 0x00000000006E1670's Seal of Wisdom.
2/15 17:33:54.149  0x00000000006E1670 hits 0xF1300028E50164EC for 137.
2/15 17:33:54.149  CAST: 0xF1300028E500BE93(Scholomance Adept) casts Frostbolt(15043) on 0x00000000006E1670(Ashsoul).
2/15 17:33:54.149  0xF1300028E500BE93 begins to cast Frostbolt.
2/15 17:33:54.149  CAST: 0xF1300028E500BE93(Scholomance Adept) begins to cast Frostbolt(15043) on 0x00000000006E1670(Ashsoul).
2/15 17:33:54.149  0xF1300028E50164EC attacks. 0x00000000001CFD42 dodges.
2/15 17:33:54.414  CAST: 0x0000000000671818(Milktrader) casts Sinister Strike(11294)(Rank 8) on 0xF1300028E500BE93(Scholomance Adept).
2/15 17:33:54.414  Your Sinister Strike hits 0xF1300028E500BE93 for 280.
2/15 17:33:54.572  You crit 0xF1300028E500BE93 for 484.
2/15 17:33:54.572  Slice and Dice fades from you.
2/15 17:33:54.606  CAST: 0x0000000000671818(Milktrader) casts Agitating Poison I(45613)(Rank 1) on 0xF1300028E500BE93(Scholomance Adept).
2/15 17:33:54.606  Your Agitating Poison I hits 0xF1300028E500BE93 for 84 Nature damage.
2/15 17:33:54.606  You hit 0xF1300028E500BE93 for 65.
2/15 17:33:54.707  0x00000000006E1670 gains 10 Mana from 0xF130001CF82793CF's Mana Spring.
2/15 17:33:54.707  0x00000000006E5FF9 gains 10 Mana from 0xF130001CF82793CF's Mana Spring.
2/15 17:33:54.707  CAST: 0xF1300028FF00BF19(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF19(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF00BF1E(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF1E(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF00BF1B(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF1B(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF00BF1A(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF1A(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF00BF1C(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF1C(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF00BDB3(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BDB3(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF016514(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF016514(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF01651B(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF01651B(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF016513(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF016513(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF00BE7D(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BE7D(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF00BD5D(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BD5D(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF00BE84(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BE84(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF00BE79(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BE79(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF00BF57(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF57(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF00BEA9(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEA9(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF00BEBB(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEBB(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF00BE80(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BE80(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF00BDC9(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BDC9(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF00BE81(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BE81(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF00BEB2(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEB2(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF016517(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF016517(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF00BEB0(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEB0(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF00BF61(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF61(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF00BEC4(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEC4(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF00BEAC(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEAC(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF00BF5B(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF5B(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF00BEC5(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEC5(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF00BF67(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF67(Diseased Ghoul).
2/15 17:33:54.707  CAST: 0xF1300028FF00BEC0(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEC0(Diseased Ghoul).
2/15 17:33:54.756  0x00000000001CFD42 crits 0xF1300028E50164EC for 340.
2/15 17:33:54.756  0xF1300028E500BE93's Frostbolt hits 0x00000000006E1670 for 379 Frost damage.
2/15 17:33:54.984  CAST: 0x00000000001CFD42(Netheras) casts Sinister Strike(11294)(Rank 8) on 0xF1300028E50164EC(Scholomance Adept).
2/15 17:33:54.984  0x00000000001CFD42's Sinister Strike crits 0xF1300028E50164EC for 825.
2/15 17:33:55.145  CAST: 0xF13000290200BF3F(Spectral Tutor) casts Image Projection(17652) on 0xF13000290200BF3F(Spectral Tutor).
2/15 17:33:55.475  0xF13000290200BF3F's Image Projection hits 0xF1300028E50164EC for 10 Shadow damage.
2/15 17:33:55.555  CAST: 0x0000000000671818(Milktrader) casts Slice and Dice(6774)(Rank 2) on 0xF1300028E500BE93(Scholomance Adept).
2/15 17:33:55.555  You gain Slice and Dice (1).
2/15 17:33:55.624  CAST: 0xF13000290200BF3F(Spectral Tutor) casts Dazed(1604) on 0x00000000001CFD42(Netheras).
2/15 17:33:55.624  0xF13000290200BF3F performs Dazed on 0x00000000001CFD42.
2/15 17:33:55.624  0xF13000290200BF3F hits 0x00000000001CFD42 for 377.
2/15 17:33:55.660  CAST: 0x00000000006E5FF9(Mooshmallows) begins to cast Chain Lightning(10605)(Rank 4) on 0xF1300028E50164EC(Scholomance Adept).
2/15 17:33:55.660  0x0000000000426076 attacks. 0xF1300028E50164EC dodges.
2/15 17:33:55.660  0xF13000290200BF3F's Image Projection hits 0xF1300028E500BE93 for 10 Shadow damage.
2/15 17:33:55.660  0x00000000001CFD42 is afflicted by Dazed (1).
2/15 17:33:55.728  Faithful fades from 0x00000000001CFD42.
2/15 17:33:55.841  CAST: 0x00000000006E1670(Ashsoul) casts Cleanse(4987) on 0x00000000006E1670(Ashsoul).
2/15 17:33:55.841  0x00000000006E1670's Frostbolt is removed.
2/15 17:33:55.841  0x00000000006E1670 casts Cleanse on 0x00000000006E1670.
2/15 17:33:55.841  0x00000000006E1670 casts Cleanse on 0x00000000006E1670.
2/15 17:33:55.841  0x00000000006E1670 casts Cleanse on 0x00000000006E1670.
2/15 17:33:55.841  0x00000000001CFD42 hits 0xF1300028E50164EC for 282.
2/15 17:33:55.841  Frostbolt fades from 0x00000000006E1670.
2/15 17:33:55.929  CAST: 0xF13000290200BF3F(Spectral Tutor) casts Mana Burn(17630) on 0x00000000006E1670(Ashsoul).
2/15 17:33:55.929  0xF13000290200BF3F's Mana Burn hits 0x00000000006E1670 for 334 Shadow damage.
2/15 17:33:55.982  UNIT_INFO: 15.02.26 17:33:55&0xF1300028E50164BA&0&Scholomance Adept&0&&&59&na&7818
2/15 17:33:55.982  0xF13000290200BF3F's Image Projection hits 0xF1300028E50164BA for 10 Shadow damage.
2/15 17:33:56.063  CAST: 0x0000000000671818(Milktrader) casts Agitating Poison I(45613)(Rank 1) on 0xF1300028E500BE93(Scholomance Adept).
2/15 17:33:56.063  Your Agitating Poison I hits 0xF1300028E500BE93 for 76 Nature damage.
2/15 17:33:56.063  You crit 0xF1300028E500BE93 for 144.
2/15 17:33:56.063  CAST: 0x00000000001CFD42(Netheras) casts Eviscerate(31016)(Rank 9) on 0xF1300028E50164EC(Scholomance Adept).
2/15 17:33:56.063  0x00000000001CFD42's Eviscerate crits 0xF1300028E50164EC for 998.
2/15 17:33:56.063  CAST: 0x00000000001CFD42(Netheras) casts Dissolvent Poison II(45880)(Rank 2) on 0xF1300028E50164EC(Scholomance Adept).
2/15 17:33:56.063  0x00000000001CFD42's Dissolvent Poison II hits 0xF1300028E50164EC for 207.
2/15 17:33:56.063  0x00000000001CFD42 gains 20 Energy from 0x00000000001CFD42's Relentless Strikes.
2/15 17:33:56.063  UNIT_INFO: 15.02.26 17:33:56&0xF1300028ED00BF41&0&Scholomance Necromancer&0&&&58&na&7580
2/15 17:33:56.063  0xF13000290200BF3F's Image Projection hits 0xF1300028ED00BF41 for 10 Shadow damage.
2/15 17:33:56.063  UNIT_INFO: 15.02.26 17:33:56&0xF1300028E500BE86&0&Scholomance Adept&0&&&59&na&7818
2/15 17:33:56.063  0xF13000290200BF3F's Image Projection hits 0xF1300028E500BE86 for 10 Shadow damage.
2/15 17:33:56.063  0xF13000290200BF3F suffers 41 Holy damage from 0x00000000006E1670's Consecration.
2/15 17:33:56.073  0x00000000001CFD42 gains Relentless Strikes (5).
2/15 17:33:56.209  UNIT_INFO: 15.02.26 17:33:56&0xF130002D1F0164BF&0&Necrofiend&0&&&58&na&9474
2/15 17:33:56.209  0xF13000290200BF3F's Image Projection hits 0xF130002D1F0164BF for 10 Shadow damage.
2/15 17:33:56.292  0xF1300028E50164EC hits 0x00000000001CFD42 for 239.
2/15 17:33:56.386  CAST: 0x00000000001CFD42(Netheras) casts Dissolvent Poison II(45880)(Rank 2) on 0xF1300028E50164EC(Scholomance Adept).
2/15 17:33:56.386  0x00000000001CFD42's Dissolvent Poison II hits 0xF1300028E50164EC for 195.
2/15 17:33:56.386  0x00000000001CFD42 crits 0xF1300028E50164EC for 398.
2/15 17:33:56.386  UNIT_INFO: 15.02.26 17:33:56&0xF1300028F70164C4&0&Risen Protector&0&&&58&na&7580
2/15 17:33:56.386  0xF13000290200BF3F's Image Projection hits 0xF1300028F70164C4 for 10 Shadow damage.
2/15 17:33:56.439  UNIT_INFO: 15.02.26 17:33:56&0xF1300028ED00BE88&0&Scholomance Necromancer&0&&&58&na&7580
2/15 17:33:56.439  0xF13000290200BF3F's Image Projection hits 0xF1300028ED00BE88 for 10 Shadow damage.
2/15 17:33:56.519  0x00000000006E1670 hits 0xF1300028E50164EC for 109.
2/15 17:33:56.519  CAST: 0x0000000000671818(Milktrader) casts Sinister Strike(11294)(Rank 8) on 0xF1300028E500BE93(Scholomance Adept).
2/15 17:33:56.519  Your Sinister Strike crits 0xF1300028E500BE93 for 606.
2/15 17:33:56.523  CAST: 0x0000000000671818(Milktrader) casts Hack and Slash(52634) on 0x0000000000671818(Milktrader).
2/15 17:33:56.523  You gain 1 extra attack through Hack and Slash.
2/15 17:33:56.523  CAST: 0x0000000000671818(Milktrader) casts Windfury Totem(51368) on 0x0000000000671818(Milktrader).
2/15 17:33:56.523  You gain 1 extra attack through Windfury Totem.
2/15 17:33:56.523  CAST: 0x0000000000671818(Milktrader) casts Agitating Poison I(45613)(Rank 1) on 0xF1300028E500BE93(Scholomance Adept).
2/15 17:33:56.523  Your Agitating Poison I hits 0xF1300028E500BE93 for 84 Nature damage.
2/15 17:33:56.523  You hit 0xF1300028E500BE93 for 220.
2/15 17:33:56.523  CAST: 0x0000000000671818(Milktrader) casts Agitating Poison I(45613)(Rank 1) on 0xF1300028E500BE93(Scholomance Adept).
2/15 17:33:56.523  Your Agitating Poison I hits 0xF1300028E500BE93 for 85 Nature damage.
2/15 17:33:56.523  You crit 0xF1300028E500BE93 for 416.
2/15 17:33:56.523  0xF1300028E50164EC is slain by 0x0000000000426076!
2/15 17:33:56.523  0xF1300028E50164EC dies.
2/15 17:33:56.523  CAST: 0x00000000006E5FF9(Mooshmallows) fails casting Chain Lightning(10605)(Rank 4).
2/15 17:33:56.523  0x0000000000426076 hits 0xF1300028E50164EC for 71.
2/15 17:33:56.573  UNIT_INFO: 15.02.26 17:33:56&0xF1300028E500BE90&0&Scholomance Adept&0&&&59&na&7818
2/15 17:33:56.573  0xF13000290200BF3F's Image Projection hits 0xF1300028E500BE90 for 10 Shadow damage.
2/15 17:33:56.733  0x00000000006E1670 gains 10 Mana from 0xF130001CF82793CF's Mana Spring.
2/15 17:33:56.733  0x00000000006E5FF9 gains 10 Mana from 0xF130001CF82793CF's Mana Spring.
2/15 17:33:56.956  UNIT_INFO: 15.02.26 17:33:56&0xF1300028ED00BE92&0&Scholomance Necromancer&0&&&59&na&7818
2/15 17:33:56.956  0xF13000290200BF3F's Image Projection hits 0xF1300028ED00BE92 for 10 Shadow damage.
2/15 17:33:56.956  Faithful fades from 0x0000000000426076.
2/15 17:33:57.037  UNIT_INFO: 15.02.26 17:33:57&0xF1300028E500BE91&0&Scholomance Adept&0&&&59&na&7818
2/15 17:33:57.037  0xF13000290200BF3F's Image Projection hits 0xF1300028E500BE91 for 10 Shadow damage.
2/15 17:33:57.037  0xF13000290200BF3F suffers 41 Holy damage from 0x00000000006E1670's Consecration.
2/15 17:33:57.110  UNIT_INFO: 15.02.26 17:33:57&0xF13000290200BF40&0&Spectral Tutor&0&&&59&na&7819
2/15 17:33:57.110  0xF13000290200BF3F's Image Projection hits 0xF13000290200BF40 for 10 Shadow damage.
2/15 17:33:57.110  UNIT_INFO: 15.02.26 17:33:57&0xF1300028F700BE8C&0&Risen Protector&0&&&58&na&7580
2/15 17:33:57.110  0xF13000290200BF3F's Image Projection hits 0xF1300028F700BE8C for 10 Shadow damage.
2/15 17:33:57.144  0x00000000001CFD42 gains Faithful (1).
2/15 17:33:57.196  CAST: 0x0000000000671818(Milktrader) casts Agitating Poison I(45613)(Rank 1) on 0xF1300028E500BE93(Scholomance Adept).
2/15 17:33:57.196  Your Agitating Poison I hits 0xF1300028E500BE93 for 75 Nature damage.
2/15 17:33:57.196  You crit 0xF1300028E500BE93 for 140.
2/15 17:33:57.196  CAST: 0xF1300028E500BE93(Scholomance Adept) casts Frostbolt(15043) on 0x00000000006E1670(Ashsoul).
2/15 17:33:57.196  0x0000000000426076 gains Faithful (1).
2/15 17:33:57.288  CAST: 0x00000000001CFD42(Netheras) casts Sinister Strike(11294)(Rank 8) on 0xF13000290200BF3F(Spectral Tutor).
2/15 17:33:57.288  0x00000000001CFD42's Sinister Strike was parried by 0xF13000290200BF3F.
2/15 17:33:57.289  UNIT_INFO: 15.02.26 17:33:57&0xF1300029B600BF26&0&Plagued Hatchling&0&&&57&na&4134
2/15 17:33:57.289  0xF13000290200BF3F's Image Projection hits 0xF1300029B600BF26 for 10 Shadow damage.
2/15 17:33:57.289  CAST: 0xF1300028E500BE93(Scholomance Adept) casts Frost Shock(15499) on 0x0000000000671818(Milktrader).
2/15 17:33:57.289  0xF1300028E500BE93's Frost Shock hits you for 484 Frost damage.
2/15 17:33:57.289  CAST: 0x0000000000671818(Milktrader) casts Daybreak(50931) on 0x0000000000671818(Milktrader).
2/15 17:33:57.368  Daybreak fades from you.
2/15 17:33:57.368  You are afflicted by Frost Shock (1).
2/15 17:33:57.408  Faithful fades from 0x0000000000426076.
2/15 17:33:57.500  CAST: 0x00000000006E1670(Ashsoul) casts Cleanse(4987) on 0x0000000000426076(Gustas).
2/15 17:33:57.500  0x0000000000426076's Cone of Cold is removed.
2/15 17:33:57.500  0x00000000006E1670 casts Cleanse on 0x0000000000426076.
2/15 17:33:57.500  0x00000000006E1670 casts Cleanse on 0x0000000000426076.
2/15 17:33:57.500  0x00000000006E1670 casts Cleanse on 0x0000000000426076.
2/15 17:33:57.500  Cone of Cold fades from 0x0000000000426076.
2/15 17:33:57.550  CAST: 0x0000000000671818(Milktrader) casts Sinister Strike(11294)(Rank 8) on 0xF1300028E500BE93(Scholomance Adept).
2/15 17:33:57.550  Your Sinister Strike hits 0xF1300028E500BE93 for 269.
2/15 17:33:57.555  Adrenaline Rush fades from you.
2/15 17:33:57.697  CAST: 0xF1300028FF00BF19(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF19(Diseased Ghoul).
2/15 17:33:57.697  CAST: 0xF1300028FF00BF1E(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF1E(Diseased Ghoul).
2/15 17:33:57.697  CAST: 0xF1300028FF00BF1B(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF1B(Diseased Ghoul).
2/15 17:33:57.697  CAST: 0xF1300028FF00BF1A(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF1A(Diseased Ghoul).
2/15 17:33:57.697  CAST: 0xF1300028FF00BF1C(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF1C(Diseased Ghoul).
2/15 17:33:57.697  CAST: 0xF1300028FF00BDB3(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BDB3(Diseased Ghoul).
2/15 17:33:57.697  CAST: 0xF1300028FF016514(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF016514(Diseased Ghoul).
2/15 17:33:57.697  CAST: 0xF1300028FF01651B(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF01651B(Diseased Ghoul).
2/15 17:33:57.697  CAST: 0xF1300028FF016513(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF016513(Diseased Ghoul).
2/15 17:33:57.697  CAST: 0xF1300028FF00BE7D(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BE7D(Diseased Ghoul).
2/15 17:33:57.697  CAST: 0xF1300028FF00BD5D(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BD5D(Diseased Ghoul).
2/15 17:33:57.697  CAST: 0xF1300028FF00BE84(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BE84(Diseased Ghoul).
2/15 17:33:57.697  CAST: 0xF1300028FF00BE79(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BE79(Diseased Ghoul).
2/15 17:33:57.697  CAST: 0xF1300028FF00BF57(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF57(Diseased Ghoul).
2/15 17:33:57.697  CAST: 0xF1300028FF00BEA9(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEA9(Diseased Ghoul).
2/15 17:33:57.697  CAST: 0xF1300028FF00BEBB(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEBB(Diseased Ghoul).
2/15 17:33:57.697  CAST: 0xF1300028FF00BE80(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BE80(Diseased Ghoul).
2/15 17:33:57.697  CAST: 0xF1300028FF00BDC9(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BDC9(Diseased Ghoul).
